,company,date,usage
158,Bolt Mobility,2019-07-31,124
159,Bolt Mobility,2019-08-01,1
160,Gotcha,2019-05-20,15
161,Gotcha,2019-05-21,25
162,Gotcha,2019-05-22,43
163,Gotcha,2019-05-23,46
164,Gotcha,2019-05-24,48
165,Gotcha,2019-05-25,102
166,Gotcha,2019-05-26,91
167,Gotcha,2019-05-27,16
168,Gotcha,2019-05-28,53
169,Gotcha,2019-05-29,18
170,Gotcha,2019-05-30,60
171,Gotcha,2019-05-31,133
172,Gotcha,2019-06-01,158
173,Gotcha,2019-06-02,95
174,Gotcha,2019-06-03,78
175,Gotcha,2019-06-04,62
176,Gotcha,2019-06-05,71
177,Gotcha,2019-06-06,82
178,Gotcha,2019-06-07,95
179,Gotcha,2019-06-08,183
180,Gotcha,2019-06-09,155
181,Gotcha,2019-06-10,57
182,Gotcha,2019-06-11,23
183,Gotcha,2019-06-12,7
184,Gotcha,2019-06-13,43
185,Gotcha,2019-06-14,85
186,Gotcha,2019-06-15,58
187,Gotcha,2019-06-16,37
188,Gotcha,2019-06-17,36
189,Gotcha,2019-06-18,23
190,Gotcha,2019-06-19,45
191,Gotcha,2019-06-20,40
192,Gotcha,2019-06-21,78
193,Gotcha,2019-06-22,97
194,Gotcha,2019-06-23,81
195,Gotcha,2019-06-25,22
196,Gotcha,2019-06-26,58
197,Gotcha,2019-06-27,34
198,Gotcha,2019-07-01,3
199,Gotcha,2019-07-04,67
200,Gotcha,2019-07-05,184
201,Gotcha,2019-07-06,160
202,Gotcha,2019-07-07,32
203,Gotcha,2019-07-08,15
204,Gotcha,2019-07-09,48
205,Gotcha,2019-07-10,19
206,Gotcha,2019-07-11,58
207,Gotcha,2019-07-12,57
208,Gotcha,2019-07-13,110
209,Gotcha,2019-07-14,46
210,Gotcha,2019-07-15,14
211,Gotcha,2019-07-16,23
212,Gotcha,2019-07-17,18
213,Gotcha,2019-07-18,7
214,Gotcha,2019-07-23,1
215,JUMP,2019-05-17,458
216,JUMP,2019-05-20,142
217,JUMP,2019-06-10,1
218,JUMP,2019-06-11,24
219,JUMP,2019-06-12,49
220,JUMP,2019-06-13,134
221,JUMP,2019-06-14,238
222,JUMP,2019-06-15,358
223,JUMP,2019-06-16,368
224,JUMP,2019-06-17,122
225,JUMP,2019-06-18,6
226,JUMP,2019-06-19,10
227,JUMP,2019-06-22,42
228,JUMP,2019-06-23,285
229,JUMP,2019-06-24,18
230,JUMP,2019-06-25,77
231,JUMP,2019-06-26,4
232,JUMP,2019-06-28,5
233,JUMP,2019-07-01,42
